,title,author,summary,category,word_count,age_cat,num_views,num_fav,publication_date,tags,url,download_link
112,Sunset Blush,Melissa Nichols,"When a young girl is attacked and close to death, he knows he has to act. When she awakens, though, she is far more beautiful then he had ever anticipated. He finds himself drawn to her, but hides his feelings by being distant and unfeeling and uses his new position as mentor to give him reason to be these things.
She is baffled by his own beauty and the wonders of her new life and finds herself falling for him, but he ignores her and is never very warm. How can she possibly fall in love with a male shrew? But, she is given the chance to prove her love when a new stranger walks into their lives and wants him for herself. Now, the two females must fight to the death and whoever wins will get the snow-haired,black-eyed boy...if he'll accept her.
Will these two be able to tell the other of their love? or will the new female rip them apart forever?",Fantasy,3313 Words,Ages 0 and up,2013,107,07-25-2011,"{'love', 'vampire', 'rivalry', 'trust'}",https://www.bookrix.com/_ebook-melissa-nichols-sunset-blush/,
113,A Hostage to Delusion,M J Marlow,When Cassie Yates is fifteen she is sold to a rich family as a bride. This is the story of how she finds her way back home.,Fantasy,30630 Words,Ages 0 and up,2014,27,01-10-2010,"{'kidnapping', 'romance', 'revenge', 'stolen children'}",https://www.bookrix.com/_ebook-m-j-marlow-a-hostage-to-delusion/,
114,Jeff The Killer....,Leah Flindt,"Everyone has heard of jeff the killer and my sister is in love with him, so why was it that he took me and not her? i dont belong with these people, i cant live with the Creepypastas...",Fantasy,4902 Words,Ages 16 and up,2007,14,08-26-2013,,https://www.bookrix.com/_ebook-leah-flindt-jeff-the-killer/,https://www.bookrix.com/Books/Download.html?bookID=ala09c3c2afb125_1377565343.1049919128&format=epub
115,Lorkana,Emily Zimmerman.,"My name is Johanna, I have lost my family, yet gained another, and all because of this silver eyed beast, and my destiny to rule along side him...

(If you'd like me to tell you when I update, please friend me)",Fantasy,36380 Words,Ages 0 and up,1959,96,05-23-2012,"{'beasts', 'love', 'Lorkana', 'rule'}",https://www.bookrix.com/_ebook-emily-zimmerman-lorkana/,https://www.bookrix.com/Books/Download.html?bookID=emily.zimmerman98_1337796906.4272251129&format=epub
116,Hybrid Huntress,Mariana Mendoza,"Last chapter!! but remember, this is a series so enjoy! please comment so that I can get an idea of how the next book should be.

I had barely escaped my old master but now I'm caught again by someone else. It wasn't even my fault, mostly. All I was doing was minding my own business, trying to figure out where I came from, when a pack of wolves caught me.
And Holy hell bomb shell was the alpha hot. But he wanted me like property, something I wasn't going to go back again. But as my old master is catching up to me quickly and letting out a savage rabid beast, I have no choice but to team up with hottie alpha boy and stop this mess I made.",Fantasy,1 Words,Ages 0 and up,1950,123,10-27-2011,"{'vampires', 'odd metaphors', 'werewolf', 'hot sex'}",https://www.bookrix.com/_ebook-mariana-mendoza-hybrid-huntress/,https://www.bookrix.com/Books/Download.html?bookID=mimv1995_1319746932.4423909187&format=epub
117,Friends with Benefits,Alexi,She becomes a friend with benefits and he wants more then she finds out he might be her brother. Will she go with love has no boundaries or will she choose to let her parents to control. Follow Hinata through a tale of confusion and suspence.,Fantasy,691 Words,Ages 0 and up,1922,18,01-07-2011,,https://www.bookrix.com/_ebook-alexi-friends-with-benefits/,https://www.bookrix.com/Books/Download.html?bookID=dragonriders_1294456570.3620619774&format=epub
118,No escape,Anne Louise Guest,"Sarah is just a normal women living a normal everyday life, but she has a secret life that she had tried to escape from. It all comes to a point there Sarah can no longer run and finds help from the very people she was trying to run from.(work in progress)",Fantasy,33851 Words,Ages 0 and up,1888,56,10-06-2011,"{'mage', 'sex', 'rejection', 'vampire', 'witch', 'loss', 'love'}",https://www.bookrix.com/_ebook-anne-louise-guest-no-escape/,https://www.bookrix.com/Books/Download.html?bookID=annewyman_1317895413.3643469810&format=epub
119,Interior,KLeenaGirl,"Alexandra Thompson, 17 is a British spy in training. That fact alone doesn't make her an ordinary school girl, but there is something else that burdens her. When her best friend becomes the target of her enemies, will she finally come clean about her past?",Fantasy,24217 Words,Ages 0 and up,1851,85,08-04-2009,,https://www.bookrix.com/_ebook-kleenagirl-interior/,https://www.bookrix.com/Books/Download.html?bookID=kleenagirl_1249374405.6886570454&format=epub
120,Sasuke x Reader,Chibi Tokiwa,All of my Sasuke X Reader chapters from Devientart and otherwise. Updated every Wednesday on both devientart and here. Hope you all enjoy :),Fantasy,3124 Words,Ages 8 and up,1845,3,07-10-2015,"{'uchiha', 'shippuden', 'chibi', 'tokiwa,... Show more', 'naruto', 'sasuke uchiha', 'Sasuke'}",https://www.bookrix.com/_ebook-chibi-tokiwa-sasuke-x-reader/,https://www.bookrix.com/Books/Download.html?bookID=rubystarnight_1436588219.1640911102&format=epub
121,Arranged Marriage to a Ass,Ann Poppet,"read the story to find out if Fiona will survive her marriage...or if Kreg will hold it against her forever that she was late on their wedding day, that she didn't know had existed till moments before.",Fantasy,1112 Words,Ages 16 and up,1820,30,01-02-2013,,https://www.bookrix.com/_ebook-ann-poppet-arranged-marriage-to-a-ass/,https://www.bookrix.com/Books/Download.html?bookID=special.2_1357161828.2850921154&format=epub
122,No Renesmee,base on the book by stephenie meyer,,Fantasy,3327 Words,Ages 0 and up,1815,91,09-04-2010,{'without renesmee'},https://www.bookrix.com/_ebook-base-on-the-book-by-stephenie-meyer-no-renesmee/,https://www.bookrix.com/Books/Download.html?bookID=pumpkin1997_1283623253.6035830975&format=epub
123,The Time Of Awakening,Miss Jina,"At 15 Sage is kicked out of her home by her Mother and Stepfather. She has been told that at 16 she will change, they can't tell her anymore than that. She is sent to live with another Family, who shows her the true meaning of what a Family is, and only there can she show her new true identity.
(This is only part I)",Fantasy,16084 Words,Ages 0 and up,1762,84,02-19-2010,"{'Fantasy', 'Wolves', 'Love', 'Family'}",https://www.bookrix.com/_ebook-miss-jina-the-time-of-awakening/,https://www.bookrix.com/Books/Download.html?bookID=missjina_1266556836.3990740776&format=epub
124,soulmate,hima,"Rose,finds herself in a entire different world, when she turns 15.The life of the earthlings are at stake.She should fight, to keep them safe but what she knows about this world,is little.",Fantasy,11675 Words,Ages 0 and up,1739,85,09-05-2010,"{'invaders', 'earthlings', 'healers,... Show more', 'gifted', 'saviours', 'nightlingsmagical beings'}",https://www.bookrix.com/_ebook-hima-soulmate/,https://www.bookrix.com/Books/Download.html?bookID=himabindu.works8_1283669915.8566710949&format=epub
125,The Moon's Eye,A.J. Calvin,"he Moon’s Eye is a story filled with magic and adventure, in a time growing ever more dark and dangerous. Janna, daughter of the volatile Fire Maiden, is sent on a journey with a warrior trained by the Immortal Blademon, to uncover a mysterious relic known as the Moon’s Eye—a relic which could prove to either save the world, or be its very undoing.",Fantasy,925 Words,Ages 0 and up,1737,76,01-15-2009,,https://www.bookrix.com/_ebook-a-j-calvin-the-moon-s-eye/,https://www.bookrix.com/Books/Download.html?bookID=ajcalvin_1232069118.6401660442&format=epub
126,Protecter's Love,Kayla Trautman,Elena Roberts understands that she's different. She understands that she can do things that other people can't. She understands that she must keep her secret ... well ... a secret. But what she doesn't understand is what she is and where she came from.,Fantasy,27873 Words,Ages 0 and up,1726,65,05-19-2011,,https://www.bookrix.com/_ebook-kayla-trautman-protecter-039-s-love/,https://www.bookrix.com/Books/Download.html?bookID=duckyt27_1305853439.3853020668&format=epub
127,Origin,D.Russ,an elite vampire team must collect the most powerful beings in the world in order to train them for the biggest battle in history.,Fantasy,2430 Words,Ages 0 and up,1719,83,09-12-2009,"{'vampires', 'werewolves'}",https://www.bookrix.com/_ebook-d-russ-origin/,https://www.bookrix.com/Books/Download.html?bookID=d.russ_1252787223.9561789036&format=epub
128,Blood Moon,Dixie Carnley,"A war has plagued Aiyana since she was born, and no one knows how it even started. Now she wants it stopped, and there is only on true possible way to do this without more bloodshed. Can Aiyana marry the terrifying, incredibly handsome Prince Kaige to stop the war?",Fantasy,2774 Words,Ages 0 and up,1700,102,08-15-2010,"{'blood', 'night', 'hatred', 'werewolves', 'magic', 'war', 'sadness,... Show more', 'vampires', 'death'}",https://www.bookrix.com/_ebook-dixie-carnley-blood-moon/,https://www.bookrix.com/Books/Download.html?bookID=dixie.carnley_1281894030.0203890800&format=epub
129,Deadly Beautiful,Vivian Vargas,This is part two of my deadly beautiful novel. enjoy!,Fantasy,7696 Words,Ages 0 and up,1700,111,05-26-2010,"{'sickness', 'night', 'werewolves', 'vampires', 'romance', 'disease,... Show more', 'creatures', 'witches'}",https://www.bookrix.com/_ebook-vivian-vargas-deadly-beautiful-1/,https://www.bookrix.com/Books/Download.html?bookID=poeticfantasy_1274288922.0015769005&format=epub
130,Life - Generation,K. Green,"Even with the most powerful parents, it's not easy. You don't know what the life will give or show you.
Alec and Jessica are twins, connected differently than other wolves or mates. What will happen when the life decide to give the biggest challenge? To live with the enemy, so you can save your brother and his mate?
Would Jessica you turn against her own pack, because her mate is one of the biggest enemies of her family?
We would never know that...
      Intimidate me now - New story, new characters, new journey. Check it out!",Fantasy,29558 Words,Ages 14 and up,1691,28,11-12-2015,"{'Camp', 'Competitions', 'Cascades,... Show more', 'Werewolves', 'Live with the enemy', 'Motors'}",https://www.bookrix.com/_ebook-k-green-life-generation/,
131,Overcomer - The Journey,Judy Colella,"THE MOST ANCIENT PLACES CONTAIN DOORS - PORTALS INTO THE HUB OF TIME...

Cian MacDara, born in Donegal, Ireland in 537 a.d., has a destiny that will take him across time and continents. To fulfill it, he will need the help of Druids, angels, and some pretty special friends from modern-day Connecticut. But before his ultimate purpose is achieved, he must survive a journey through extreme adversity and overcome the darkness that wants to destroy him.",Fantasy,85929 Words,Ages 14 and up,1688,15,03-25-2014,,https://www.bookrix.com/_ebook-judy-colella-overcomer-the-journey/,
132,Sankarea Vol. 1,Spanguel,"Sankarea (さんかれあ) is a romantic comedy manga written and illustrated by Mitsuru Hattori about a deceased girl who becomes a zombie. It is published in Japan by Kodansha. The manga has been serialized in Bessatsu Shōnen Magazine since December 2009, with six complete volumes released as of 8 June 2012. A television anime adaptation by Studio Deen aired in Japan from April 5, 2012 to June 28, 2012.",Fantasy,2 Words,Ages 0 and up,1680,6,07-19-2012,"{'Manga', 'sanka rea', 'Sanka Rea', 'anime', 'Sankarea', 'Anime'}",https://www.bookrix.com/_ebook-spanguel-sankarea-vol-1/,https://www.bookrix.com/Books/Download.html?bookID=spanguel_1342688226.6726989746&format=epub
133,I accidentally fell in love with a vampire,m. ziegler,Rose was born with with supernatural powers and her mom and dad thought she was getting to powerful to be around her little sister Candi they were going to send her to the government but she ran away to her friend Kyle. she went for a walk one day in the woods and went to climb a tree. she saw something and fell out of the tree and woke up in a room she didn't reconize.,Fantasy,6680 Words,Ages 0 and up,1676,12,12-02-2011,,https://www.bookrix.com/_ebook-m-ziegler-i-accidentally-fell-in-love-with-a-vampire/,https://www.bookrix.com/Books/Download.html?bookID=cutieh3o_1322840090.3429260254&format=epub
134,inuyasha,by erika hobart,,Fantasy,2 Words,Ages 0 and up,1658,12,07-09-2011,,https://www.bookrix.com/_ebook-by-erika-hobart-inuyasha/,https://www.bookrix.com/Books/Download.html?bookID=erikahobart_1310242718.9541509151&format=epub
135,Just Blood,authoroffantasy,Blood escaped Ashes' clutches with Triscon at her side. Thinking it'd be best. But somehow she ends up fighting for her life and getting saved by strangers. Meanwhile Triscon is off with another vampire she might not be able to trust. Is she really that safe?,Fantasy,6091 Words,Ages 0 and up,1647,116,06-20-2010,"{'blood', 'fight', 'drama', 'confusion', 'vampire', 'death'}",https://www.bookrix.com/_ebook-authoroffantasy-just-blood-1/,https://www.bookrix.com/Books/Download.html?bookID=authoroffantasy_1277087370.0632350445&format=epub
136,Impregnanted Mate,Amani Boyd,"Being mated with the clans best alpha males has its perks, respect goes all around and your the badest chick in the pack, but all that can go away when alpha female Cadence finds out she's pregnant with the alpha's baby, her respect fades and she's no longer the badest chick. a trail of betrayel follows her pack but will she be able to take the pain anymore.",Fantasy,339 Words,Ages 12 and up,1638,40,08-14-2012,{'werewolf'},https://www.bookrix.com/_ebook-amani-boyd-impregnanted-mate/,https://www.bookrix.com/Books/Download.html?bookID=amaniposley_1344996717.7303481102&format=epub
137,The Ultimate,Cielo,"Disclaimer: This is a Maximum Ride fanfic. All characters belong to the awesome James Patterson.

When Max and her family move to a new town, she thinks everything will be just like it's been for the past five years: she moves, she settles, she moves again. But when she meets a mysterious boy, her best friend turns against her, and she starts seeing things-is she going crazy?-what secrets of her past will she uncover, and what will she choose when the ultimate choice shows it's face?",Fantasy,7235 Words,Ages 0 and up,1634,71,04-14-2010,,https://www.bookrix.com/_ebook-cielo-the-ultimate/,https://www.bookrix.com/Books/Download.html?bookID=cielo19_1271299545.7292680740&format=epub
138,First Witch,L.A. Borgaard,"In a final effort to protect life, a dragon and his rider create the first witch.",Fantasy,4869 Words,Ages 0 and up,1629,85,03-14-2010,"{'elf', 'dragon', 'witch'}",https://www.bookrix.com/_ebook-l-a-borgaard-first-witch/,https://www.bookrix.com/Books/Download.html?bookID=lborgaard_1268603626.0294880867&format=epub
139,My Kidnapper Is My Mate,Fatima Chaouch,"It was last night when Jenny had her last bite from her pizza before yawning and deciding to go to sleep. After the third strike coming from the only ancient wooden clock in the house to announce that it is midnight, something strange happened in that old house. A terrifying howl came from Jenny's room. Her only old man servant came running to see what's going on and how come a howl has been heard in the house. Mr. Jefferson climbed the stairs two at a time and head straight to her door. Jenny ends up in a castle full of werewolves. Her kidnapper precisely is their prince and alpha. However, after revealing the truth Jenny finds it hard to believe and tries to escape countless times, but in vain.
Will she fall in love with Alpha  Xavier?
Will she finally believe that werewolves exists ?
What happens next in the story is up to jenny to decide. read to know more.",Fantasy,11725 Words,Ages 14 and up,1609,19,06-05-2016,"{'kidnapping', 'werewolves', 'Love', 'Vampires', 'Mates', 'Trust', 'Bite'}",https://www.bookrix.com/_ebook-fatima-chaouch-my-kidnapper-is-my-mate/,https://www.bookrix.com/Books/Download.html?bookID=mcd24dbe68d0475_1464452074.8076050282&format=epub
140,Alphas and Betas,M.E.M.,"When Josie moves to a new town and ends up a werewolf, will she and her friend join their dead fathers' pack and save it from a corrupt wolf? Or will they fall in love with a different pack?",Fantasy,2 Words,Ages 16 and up,1599,74,02-22-2012,"{'friends', 'decisions', 'werewolf', 'alphas', 'Mature-ish', 'run', 'past', 'betas', 'love', 'mate'}",https://www.bookrix.com/_ebook-m-e-m-alphas-and-betas/,https://www.bookrix.com/Books/Download.html?bookID=wolfdog_1329946750.6347179413&format=epub
141,He's My What!?,me<3,"Jerna Roselyn, Very cocky,bossy,nerdy,fun,and VERY sarcastic. can't get enough of her.she was living a regular wolf in a human world and school life. which was very exciting to her considering that she meets someone new....",Fantasy,3699 Words,Ages 0 and up,1587,67,05-09-2012,"{'nerd', 'guy', 'girl', 'romance', 'hot'}",https://www.bookrix.com/_ebook-me-lt-3-he-039-s-my-what/,https://www.bookrix.com/Books/Download.html?bookID=pokipanda19067_1336615997.5149319172&format=epub
142,Sorcerer,Susan Bowes,"In a time when mystical spells are the norm, deception is the instrument a mere magician uses when he learns of a prophesy about a unique being who will be born to rule many lands through the true ability of conjuring. The wizard kidnaps the infant at birth and raises the child as his own, planning to control the lad in his unending lust for power. Despite the man’s evil plans - Liam grows into maturity having a mind of his own, but insecurity from his father’s cruelty forces him submit.
Liam falls helplessly in love with a bewitching redhead who has haunted his reoccurring dreams, only to discover that she’s real and has shared his visions. However, Sanja wants nothing to do with the heir to the vile kingdom Kydo the Sorcerer now rules. Fighting against a marriage offered because she believes Liam is as wicked as Kydo, Sanja refuses to wed him. But as he begins to woo her, she realizes Liam isn’t the man she thought. Sanja and Liam travel a rocky path in order to find the love they turned from, yet still secretly yearn for, as the young man finally discovers that his father is not the fair and just king he claimed to be.",Fantasy,5117 Words,Ages 0 and up,1579,86,10-08-2009,"{'sorcerer', 'betrayal', 'romance', 'love', 'fantasy'}",https://www.bookrix.com/_ebook-susan-bowes-sorcerer/,
143,Within the Shadows,Cryssy Garvin,"21 year old Zoe Galinia is just a normal young woman, on the outside that is. Her small town is about to become the new hunting grounds for a pack like no other, and the wolves will play.",Fantasy,179 Words,Ages 12 and up,1574,89,10-11-2010,"{'Werewolf', 'fighting', 'romance', 'love', 'fantasy', 'Vampire'}",https://www.bookrix.com/_ebook-cryssy-garvin-within-the-shadows/,https://www.bookrix.com/Books/Download.html?bookID=jasper25_1286814675.3571629524&format=epub
144,UNDONE PASSION,Shannon Coots,"A romance of love and trials and discovery and unlimited lessons in love and passion, fathers arrange marriage. ETC!! And surprise Max chooses Mari and her sisters are jealous etc",Fantasy,1045 Words,Ages 0 and up,1565,17,12-10-2011,"{'passion', 'undone', 'cry etc.', 'love', 'husband', 'father', 'marriage', 'wife'}",https://www.bookrix.com/_ebook-shannon-coots-undone-passion/,https://www.bookrix.com/Books/Download.html?bookID=babyluv_1323490832.8040919304&format=epub
145,Dawn of a Second Life,Kathrayne,"This universe is full of things humans do not know, different realms filled with the strange and unknown, what those in the realm of humans call fictional and supernatural. This novel follows Emerald's story as she finds her destiny through war, bloodshed, and love.",Fantasy,8569 Words,Ages 0 and up,1564,116,05-11-2010,"{'elements', 'dragons', 'destiny', 'fire,... Show more', 'princess', 'fighting', 'war', 'loss', 'warriors'}",https://www.bookrix.com/_ebook-kathrayne-dawn-of-a-second-life/,https://www.bookrix.com/Books/Download.html?bookID=kathrayne_1273619642.0413820744&format=epub
146,Enchantress,Kenzhie A.,Zylen Hayes believed that she's just an ordinary teenage girl until she met Ellis---The mysterious but gorgeous guy who seem to dislike her but has a thing for saving her when she's in danger from the scary wraiths. Her past unfolded one by one when she turned seventeen---Her appearance changed drastically and an unknown power she couldn't imagine she will possess is changing her simple teenage life into a magical yet dangerous adventure and a love that has been cursed for eternity to have a tragic ending repeatedly? Zy has to find a way to break the curse and be with the one she loves even if it means she has to fight her destiny real hard in order for her to alter her Fate.,Fantasy,33342 Words,Ages 16 and up,1562,57,05-21-2014,"{'Reincarnation,... Show more', 'Immortal', 'Romance', 'Witch', 'Teen', 'Fiction', 'Fantasy', 'Magic'}",https://www.bookrix.com/_ebook-kenzhie-a-enchantress/,
147,Afterthought,M J Marlow,Evangeline's journey to finding the place she belongs leads her through some very strange twists and turns. Along the way she crosses paths with some very odd characters.,Fantasy,82947 Words,Ages 16 and up,1556,10,01-10-2010,"{'romance', 'mystery', 'Family loss', 'paranormal'}",https://www.bookrix.com/_ebook-m-j-marlow-afterthought/,
148,The unordinary girl's diary,MewIchigo34,"One girl is unordinary.She sees ghosts,casts spells,is able to transform when she wants to,and sprinkles fairy dust over herself.",Fantasy,335 Words,Ages 0 and up,1556,59,11-22-2009,"{'magic', 'fairy', 'mermaid', 'witch'}",https://www.bookrix.com/_ebook-mewichigo34-the-unordinary-girl-039-s-diary/,https://www.bookrix.com/Books/Download.html?bookID=mewichigo34_1258928640.9691650867&format=epub
149,MY BOTHERS BEST FRIEND,SHANNON COOTS,"Sami was always shy around her brothers friend but extreamly around ryder edwood, because she secretly loved him. he would always tease her. ?",Fantasy,1441 Words,Ages 0 and up,1556,36,09-02-2011,"{'bother.friend.sister', 'romance', 'love', 'jealousy etc'}",https://www.bookrix.com/_ebook-shannon-coots-my-bothers-best-friend/,https://www.bookrix.com/Books/Download.html?bookID=babyluv_1314991506.0156021118&format=epub
150,My Dark Knight,L.Perez,"After the loss of her Father many years ago, sixteen year old Gabriella Moretti has to be her Mother's hold on sanity. Gabriella is very much on her own, especially when her sister, Cora, is going to leave. Things seem to be tough already, but Gabriella's mother throws in a complication- A body guard. As the story goes on, Gabriella and Andrei develop a relationship, hesitantly. Gabriella wants to remove the mask Andrei has on and know who he is. Andrei on the other hand is being difficult. There are deep secrets about who he is and what he knows and telling her would mean bringing her into his dangerous life.",Fantasy,15001 Words,Ages 0 and up,1550,35,11-19-2010,"{'Mystery', 'Vampire', 'Romance'}",https://www.bookrix.com/_ebook-l-perez-my-dark-knight/,https://www.bookrix.com/Books/Download.html?bookID=lucylucero_1289530028.5104770660&format=epub
151,Jacob and Renesmee,By:Amazingreader,Renesmee's jouney through life.Enjoy!!,Fantasy,2364 Words,Ages 0 and up,1540,39,11-28-2010,"{'Jacob', 'Love', 'Vampires', 'And Birth', 'Renesmee', 'Werewolfs'}",https://www.bookrix.com/_ebook-by-amazingreader-jacob-and-renesmee/,https://www.bookrix.com/Books/Download.html?bookID=amazingreader_1290993040.9777169228&format=epub
152,Mermaid stories,mewichigo34,,Fantasy,110 Words,Ages 0 and up,1540,13,05-04-2010,,https://www.bookrix.com/_ebook-mewichigo34-mermaid-stories/,https://www.bookrix.com/Books/Download.html?bookID=mewichigo34_1273007182.1481299400&format=epub
153,Jacob Black - True Imprint,Jessley,"Jacob and Kayla were best friends growing up, there was a connection, but circumstances sent her to the other side of the world. 7 years later Kayla's back, have situations changes, is the connection still there? Will there be a new love triangle between Kayla, Jacob and...?",Fantasy,47708 Words,Ages 0 and up,1538,48,03-05-2011,"{'Jacob Black', 'love', 'fantasy', 'wolf'}",https://www.bookrix.com/_ebook-jessley-jacob-black-true-imprint/,https://www.bookrix.com/Books/Download.html?bookID=jessley_1299224584.9342620373&format=epub
154,The mermaid,Mewichigo34,Cassie finds a sparkly lamp then she rubs it and a genie comes out!Then she is suddenly a mermaid.Wait there's a new girl.Can it be another mermaid?Find out!,Fantasy,1142 Words,Ages 0 and up,1527,58,01-22-2010,"{'magic', 'mermaid'}",https://www.bookrix.com/_ebook-mewichigo34-the-mermaid/,https://www.bookrix.com/Books/Download.html?bookID=mewichigo34_1264211384.9021899700&format=epub
155,twilight... fan made version,ragdoll90210,"This takes place after ""Breaking dawn"" i love it and hope u will to. It takes place in general life after what went on. They learn more about Renesmee every day they face more danger as they realize bella is more special then they though.",Fantasy,557 Words,Ages 0 and up,1517,48,07-22-2010,{'twilight'},https://www.bookrix.com/_ebook-ragdoll90210-twilight-fan-made-version/,https://www.bookrix.com/Books/Download.html?bookID=ragdoll90210_1279830161.0050909519&format=epub
156,midnight love,gaara5,"autumns life has been somewhat normal that is until oneday she comes home only to find a stranger in her home only to have him tell her she is a child of the moon, a child who is born a vampire but has two human parents. before she knows it she is wisked away to live with other supernatrual creatures but little does she know theres a hidden agenda her family has plained for her she shrtly finds out she is engaged to a vampire king but he has been in a deep sleep for over a hundered years and she is the only one to wake him. will she be able to embrace her destiny or will she flee? IM GOING TO BE ADDING A LITTLE HERE AND THERE",Fantasy,4579 Words,Ages 0 and up,1500,126,10-16-2010,"{'love', 'vampire', 'witches'}",https://www.bookrix.com/_ebook-gaara5-midnight-love/,https://www.bookrix.com/Books/Download.html?bookID=gaara5_1287253801.7332160473&format=epub
157,The Quantum Prophecy,Ryan Matthew Harker,"(Complete Story)

IN THE NEAR FUTURE...

On a planet much like our own a diabolical madman uses a power once only dreamed of to open a portal, a wormhole ripped across space/time, through which to lead his hellish army in a dark quest for vengeance and conquest. This madman is the sorcerer Harmony and he is now the undisputed supreme ruler of all that is left of the great, green Earth. He sits on a throne of bones and dreams of the day he will return to claim what is rightfully his.

Traveling the occupied territories once known as the United States of America a young man struggles to stay once step ahead of the soldiers who doggedly pursue him. Lost to a bestial madness by night, by day he is just plain lost. His name is Candlelite; he never asked for this burden yet he carries it with honor and integrity beyond his years.

Max Kimbal is a genetic engineer and quantum physicist unparalleled in his fields. Hired by a billionaire's son to help him realize his dead father's dream of journeying to alternate universes via quantum tunneling, Max is also the only survivor of Harmony's arrival on Earth. Shouldering the blame for Harmony's conquest Max has appointed himself the wormhole's watchdog. Though now lost to alcoholism the scientist remains ever vigilant in his observations.

The immortal mercenary Jeshux DuTerriux Jules has crossed the very fabric of existence in his pursuit of the sorcerer Harmony. Presently the soldier pursues a prey the likes of which he has never seen before. Some primordial instinct whispers that herein lies the key to stopping Harmony's insanity. Jeshux only hopes he can catch the beast in time.

A puzzled bear meanders under the forest's canopy. It's puzzlement stems from a partially remembered scent, an odor from the past that sends it seeking answers to questions it did not know it possessed. Steadfast the confused animal follows it's nose to one who may hold the answers.

Within these pages lie the fate of two worlds, spinning in tandem they only await the fulfillment of- The Quantum Prophecy!",Fantasy,46008 Words,Ages 0 and up,1494,49,05-19-2011,"{'War', 'Physics', 'Werewolves,... Show more', 'Sorcery', 'Hate', 'Wormholes', 'Prophecy', 'Love', 'Peace'}",https://www.bookrix.com/_ebook-ryan-matthew-harker-the-quantum-prophecy/,
158,Bloodied claws,Marc962,"After the horrible bone-chilling massacre in Jameson village, a place long forgotten and abandoned, Jacob, a gifted werewolf, swore he would never associate with anyone ever again, that he would live the rest of his days in the forests far from the cities and towns to pay back the debt of the lives in his old life. But years later, he is drawn to a city he's never been to, a town full of blood sucking leeches, better known as vampires, the sworn enemy of werewolves and vice versa. As much as he wants to leave fate keeps pushing him back. And the reason is simple yet confusing, a girl who he has seen only once, but has already embedded herself in his mind, and vice versa. Both of them know the truth of what they are feeling, but cannot except it. As the two slowly slowly discover the truths of the other, passions flare, treacherous plots are put into motion, and an forbidden yet unbreakable bond is formed.

'Caution, this novel has explicit mature content. If this were a TV show or a movie, this would be rated TV/MA. If you don't care, go ahead and read.'",Fantasy,5905 Words,Ages 0 and up,1489,70,10-18-2010,"{'full moon', 'werewolves', 'horror', 'gore', 'mature content,... Show more', 'vampires', 'love', 'action'}",https://www.bookrix.com/_ebook-marc962-bloodied-claws/,https://www.bookrix.com/Books/Download.html?bookID=marc962_1287439493.8544259071&format=epub
159,Daylight,Verbayne +Demonata-Freak,"Clair isn't your everyday run of the mill vampire. She's a day walker, a special breed of vampire who can withstand sunlight. To a vampire this ability is a gift but to Clair it is a curse that destroys everything around her.",Fantasy,37195 Words,Ages 16 and up,1485,33,01-26-2013,"{'search,... Show more', 'daywalker', 'half breed', 'blood', 'vampire', 'missing', 'pure breed', 'death'}",https://www.bookrix.com/_ebook-verbayne-demonata-freak-daylight/,https://www.bookrix.com/Books/Download.html?bookID=verbayne_1359216825.9712820053&format=epub
160,The Curious Case of Benjamin Button,F. Scott Fitzgerald,,Fantasy,9163 Words,Ages 0 and up,1474,12,01-29-2010,,https://www.bookrix.com/_ebook-f-scott-fitzgerald-the-curious-case-of-benjamin-button-1/,https://www.bookrix.com/Books/Download.html?bookID=audio.books_1264765542.7429740429&format=epub
161,dark beauty,jade143,have to read!!!,Fantasy,2252 Words,Ages 0 and up,1471,92,12-12-2010,"{'ball', 'vampire', 'school', 'stranger'}",https://www.bookrix.com/_ebook-jade143-dark-beauty/,https://www.bookrix.com/Books/Download.html?bookID=jade143_1292139755.1094160080&format=epub
162,Brites' Revenge,Mariana Mendoza,"Brites has survived a horrible witch mother, abusive father and boyfriend. Now, she's in peace and in a gang with her vampire boss as her lover.
Everything seamed fine until her abusive ex-boyfriend comes back and he's raping other girls. Now, Brites has to find him before he destroys other girls' lives. And she has to try not to fall for the hot detective who is helping her.",Fantasy,14545 Words,Ages 0 and up,1471,75,11-07-2011,"{'hot men', 'gang', 'Vampires', 'Dragon girl'}",https://www.bookrix.com/_ebook-mariana-mendoza-brites-039-revenge/,https://www.bookrix.com/Books/Download.html?bookID=mimv1995_1320713225.2885251045&format=epub
163,sorry,based on the book by stephenie meyer,Bella is captured by Jaspers old master Maria and then the cullens have Seliene and Teriene to deal with.,Fantasy,2132 Words,Ages 0 and up,1457,117,08-24-2010,"{'esme', 'jasper', 'cullen', 'Twilight', 'emmett', 'alice,... Show more', 'carlisle', 'volturi', 'edward'}",https://www.bookrix.com/_ebook-based-on-the-book-by-stephenie-meyer-sorry/,https://www.bookrix.com/Books/Download.html?bookID=pumpkin1997_1282683852.0107750893&format=epub
